TIMESTAMP	Soil moisture at - 0.04 m (%)	Soil moisture at - 0.1 m (%)	Soil moisture at - 0.2 m (%)	Soil moisture at - 0.4 m (%)	Soil moisture at - 0.8 m (%)	Soil moisture at - 1.2 m (%)	Soil moisture at - 1.6 m (%)	Soil temperature at - 0.00 m (°C)	Soil temperature at - 0.04 m (°C)	Soil temperature at - 0.1 m (°C)	Soil temperature at - 0.2 m (°C)	Soil temperature at - 0.4 m (°C)	Soil temperature at - 0.8 m (°C)	Soil temperature at - 1.2 m (°C)	Soil temperature at - 1.6 m (°C)
2016-01-20	7.633340277777778	7.244180555555555	8.347569444444444	8.567291666666668	4.996416666666667	3.677597222222222	5.455236111111111	-16.217291666666668	-14.371736111111112	-13.700138888888889	-13.094930555555557	-11.921180555555557	-10.350833333333334	-7.758131944444445	-6.331493055555556
2016-01-21	7.573513888888889	7.180479166666667	8.28076388888889	8.520347222222222	4.982048611111111	3.667597222222222	5.437909722222222	-17.23548611111111	-14.993541666666667	-14.337361111111111	-13.615277777777777	-12.241041666666668	-10.481319444444445	-7.843631944444444	-6.4339305555555555
2016-01-22	7.472395833333334	7.100076388888889	8.202152777777776	8.46638888888889	4.953145833333334	3.653104166666667	5.418944444444445	-18.708055555555557	-15.945	-15.090347222222224	-14.194583333333334	-12.605486111111112	-10.708263888888888	-7.957895833333333	-6.540486111111111
2016-01-23	7.308715277777777	6.941145833333334	8.038118055555556	8.353402777777779	4.909291666666666	3.632951388888889	5.398743055555555	-19.782708333333332	-17.25076388888889	-16.282847222222223	-15.310277777777777	-13.326180555555556	-11.073263888888889	-8.105902777777779	-6.661625
2016-01-24	7.246326388888889	6.865104166666667	7.943069444444443	8.24861111111111	4.850013888888889	3.6093541666666664	5.373708333333333	-20.183958333333333	-17.823541666666667	-16.88625	-15.979999999999999	-13.991041666666668	-11.561180555555556	-8.315486111111111	-6.8097916666666665
2016-01-25	7.2378125	6.841888888888889	7.901409722222223	8.179027777777778	4.796951388888889	3.5788194444444446	5.344548611111112	-19.914305555555554	-17.879236111111112	-17.074027777777776	-16.278958333333335	-14.441597222222223	-12.007222222222222	-8.576666666666666	-6.994222222222223
2016-01-26	7.2368958333333335	6.83475	7.885930555555556	8.142916666666666	4.758145833333334	3.546625	5.311597222222222	-19.294305555555557	-17.805625000000003	-17.07513888888889	-16.359166666666667	-14.660555555555554	-12.331319444444444	-8.850625	-7.204048611111111
2016-01-27	7.335243055555556	6.907930555555556	7.9369652777777775	8.136875	4.7344375	3.5191666666666666	5.278513888888889	-17.255694444444444	-16.762291666666666	-16.264444444444443	-15.861805555555556	-14.623055555555558	-12.537569444444445	-9.104652777777778	-7.419381944444445
2016-01-28	7.409326388888889	6.978194444444444	8.007395833333334	8.174305555555556	4.7332222222222216	3.4967708333333336	5.248701388888889	-17.1225	-16.122430555555557	-15.629305555555554	-15.265416666666665	-14.273333333333333	-12.521597222222221	-9.310833333333333	-7.621034722222223
2016-01-29	7.443173611111111	7.013784722222223	8.050763888888888	8.206666666666667	4.745104166666667	3.4817291666666668	5.224875	-17.113055555555558	-15.874791666666665	-15.349375	-14.918472222222224	-13.9775	-12.4075	-9.438958333333334	-7.789958333333333
