iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,lh_w,lh_i,hc_l,hc_r
10,0,0.1,0.75,0.005,0.00213569,2.02073,1.99004,0.250117,0.211735,0.447757,0.963411,0.124096,1.00103,1.51025,1.50271,0.487809,0.699031,0.741079,0.412455,2.74058e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,1,1,0.005,0.00213601,2.02075,1.99009,0.250128,0.211731,0.447757,0.963403,0.124049,1.00102,1.51025,1.50271,0.487803,0.69903,0.741035,0.412487,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,1,0.75,0.005,0.00213583,2.02075,1.99009,0.250129,0.21173,0.447757,0.963402,0.124046,1.00102,1.51025,1.50271,0.487803,0.69903,0.741033,0.412489,2.74058e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,10,1,0.005,0.00213605,2.02076,1.99009,0.250129,0.211728,0.447757,0.963401,0.12404,1.00101,1.51025,1.50271,0.487802,0.699029,0.741027,0.412493,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,10,0.75,0.005,0.00213586,2.02076,1.99009,0.250129,0.211728,0.447757,0.963401,0.124039,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412493,2.74058e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,100,1,0.005,0.00213597,2.02076,1.9901,0.250129,0.211728,0.447757,0.963401,0.124039,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412494,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,100,0.75,0.005,0.00213579,2.02076,1.9901,0.250129,0.211728,0.447757,0.963401,0.124039,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412494,2.74058e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,1000,1,0.005,0.0021356,2.02076,1.9901,0.250129,0.211728,0.447757,0.963401,0.124039,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412494,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
10,0,1000,0.75,0.005,0.00213552,2.02076,1.9901,0.250129,0.211728,0.447757,0.963401,0.124038,1.00101,1.51025,1.50271,0.487802,0.699029,0.741026,0.412494,2.74058e-11,5e-14,900,1900,334000,-6007.87,76,620
11,0,0.1,1,0.005,0.00213688,2.02069,1.98993,0.250097,0.211721,0.447745,0.963428,0.124144,1.00105,1.51026,1.50271,0.487817,0.699036,0.741178,0.412407,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
11,0,0.1,0.75,0.005,0.00213662,2.0207,1.98997,0.250105,0.211724,0.447748,0.963422,0.124119,1.00104,1.51026,1.50271,0.487814,0.699034,0.741142,0.412427,2.69013e-11,5e-14,900,1900,334000,-6007.87,76,620
11,0,1,1,0.005,0.00213672,2.02075,1.99007,0.250126,0.211731,0.447756,0.963405,0.124057,1.00102,1.51025,1.50271,0.487804,0.69903,0.741049,0.412479,2.67331e-11,5e-14,900,1900,334000,-6007.87,76,620
