obsnme,obsval,weight,obgnme
stemp_0.04_46,262.1870833333333,0.00019569471624266145,temp
stemp_0.04_47,262.7192708333333,0.00019569471624266145,temp
stemp_0.04_48,263.7728125,0.00019569471624266145,temp
stemp_0.04_49,265.4898333333333,0.00019569471624266145,temp
stemp_0.04_50,266.72193749999997,0.00019569471624266145,temp
stemp_0.04_51,265.55454166666664,0.00019569471624266145,temp
stemp_0.04_52,264.36368055555556,0.00019569471624266145,temp
stemp_0.04_53,263.4215972222222,0.00019569471624266145,temp
stemp_0.04_54,263.19118055555555,0.00019569471624266145,temp
stemp_0.04_55,262.9609722222222,0.00019569471624266145,temp
stemp_0.04_56,262.1897916666666,0.00019569471624266145,temp
stemp_0.04_57,261.56631944444445,0.00019569471624266145,temp
stemp_0.04_58,261.91166666666663,0.00019569471624266145,temp
stemp_0.04_59,261.3977777777778,0.00019569471624266145,temp
stemp_0.04_60,261.2584722222222,0.00019569471624266145,temp
stemp_0.04_61,261.0340972222222,0.00019569471624266145,temp
stemp_0.04_62,261.05527777777775,0.00019569471624266145,temp
stemp_0.04_63,261.31791666666663,0.00019569471624266145,temp
stemp_0.04_64,261.3641666666666,0.00019569471624266145,temp
stemp_0.04_65,261.33423611111107,0.00019569471624266145,temp
stemp_0.04_66,261.21999999999997,0.00019569471624266145,temp
stemp_0.04_67,261.28402777777774,0.00019569471624266145,temp
stemp_0.04_68,261.63854166666664,0.00019569471624266145,temp
stemp_0.04_69,262.08201388888887,0.00019569471624266145,temp
stemp_0.04_70,262.24326388888886,0.00019569471624266145,temp
stemp_0.04_71,262.52777777777777,0.00019569471624266145,temp
stemp_0.04_72,262.65944444444443,0.00019569471624266145,temp
stemp_0.04_73,262.82055555555553,0.00019569471624266145,temp
stemp_0.04_74,262.8365972222222,0.00019569471624266145,temp
stemp_0.04_75,262.8840972222222,0.00019569471624266145,temp
stemp_0.04_76,262.9342361111111,0.00019569471624266145,temp
stemp_0.04_77,263.2304861111111,0.00019569471624266145,temp
stemp_0.04_78,263.1346527777778,0.00019569471624266145,temp
stemp_0.04_79,263.38180555555556,0.00019569471624266145,temp
stemp_0.04_80,263.5645138888889,0.00019569471624266145,temp
stemp_0.04_81,263.80256944444443,0.00019569471624266145,temp
stemp_0.04_82,263.52930555555554,0.00019569471624266145,temp
stemp_0.04_83,263.1002083333333,0.00019569471624266145,temp
stemp_0.04_84,262.82888888888886,0.00019569471624266145,temp
stemp_0.04_85,263.359375,0.00019569471624266145,temp
stemp_0.04_86,263.88076388888885,0.00019569471624266145,temp
stemp_0.04_87,264.13062499999995,0.00019569471624266145,temp
stemp_0.04_88,263.92479166666664,0.00019569471624266145,temp
stemp_0.04_89,263.6848611111111,0.00019569471624266145,temp
stemp_0.04_90,263.6647222222222,0.00019569471624266145,temp
stemp_0.04_91,264.00652777777776,0.00019569471624266145,temp
stemp_0.04_92,264.60520833333334,0.00019569471624266145,temp
stemp_0.04_93,264.6381944444444,0.00019569471624266145,temp
stemp_0.04_94,264.8182083333333,0.00019569471624266145,temp
stemp_0.04_95,265.3281666666666,0.00019569471624266145,temp
stemp_0.04_96,266.01687499999997,0.00019569471624266145,temp
stemp_0.04_97,266.36176388888885,0.00019569471624266145,temp
stemp_0.04_98,266.6915902777778,0.00019569471624266145,temp
stemp_0.04_99,266.63265277777776,0.00019569471624266145,temp
stemp_0.04_100,266.41159027777775,0.00019569471624266145,temp
stemp_0.04_101,266.17620138888884,0.00019569471624266145,temp
stemp_0.04_102,265.75031249999995,0.00019569471624266145,temp
stemp_0.04_103,265.77107638888884,0.00019569471624266145,temp
stemp_0.04_104,266.2996597222222,0.00019569471624266145,temp
