iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
5,0,10,0.75,0.01,0.00179852,1.55213,1.483,0.186356,0.154558,0.424594,0.977789,0.0963693,0.992381,1.50175,1.49978,0.491563,0.69948,0.600959,0.496188,1.78274e-11,1e-13,900,2300
5,0,100,1,0.01,0.00179893,1.5522,1.48302,0.186268,0.15456,0.424576,0.977825,0.0963523,0.992394,1.50174,1.49978,0.491571,0.699482,0.60086,0.496204,1e-11,1e-13,900,2300
5,0,100,0.75,0.01,0.00179621,1.5522,1.48302,0.186264,0.15456,0.424575,0.977826,0.0963517,0.992394,1.50174,1.49978,0.491572,0.699482,0.600856,0.496204,1.78274e-11,1e-13,900,2300
6,0,0.1,1,0.01,0.00177685,1.53179,1.48063,0.206183,0.153264,0.431366,0.965938,0.0992975,0.988191,1.50308,1.49945,0.49015,0.699199,0.623347,0.491316,2.89786e-11,1e-13,900,2300
6,0,0.1,0.75,0.01,0.00178623,1.53461,1.48082,0.203856,0.153334,0.430216,0.967508,0.0991093,0.988748,1.50292,1.49951,0.490254,0.699199,0.620582,0.492123,2.4234e-11,1e-13,900,2300
6,0,1,1,0.01,0.00180855,1.5418,1.48123,0.198084,0.153601,0.427311,0.971587,0.0986742,0.990206,1.50251,1.49965,0.490508,0.699199,0.613768,0.494138,2.91782e-11,1e-13,900,2300
6,0,1,0.75,0.01,0.00181,1.54212,1.48127,0.197782,0.153587,0.427175,0.971745,0.0986418,0.99026,1.50249,1.49966,0.490523,0.699199,0.613398,0.49424,2.43837e-11,1e-13,900,2300
6,0,10,1,0.01,0.00181472,1.54294,1.48137,0.196999,0.153552,0.426823,0.972156,0.0985585,0.990401,1.50246,1.49968,0.490561,0.699199,0.612441,0.494503,2.92156e-11,1e-13,900,2300
6,0,10,0.75,0.01,0.00181463,1.54297,1.48137,0.196968,0.15355,0.426809,0.972172,0.0985551,0.990406,1.50246,1.49968,0.490563,0.699199,0.612402,0.494513,2.44117e-11,1e-13,900,2300
6,0,100,1,0.01,0.00181518,1.54305,1.48139,0.196887,0.153545,0.426773,0.972213,0.0985462,0.99042,1.50245,1.49968,0.490567,0.699199,0.612303,0.49454,2.92205e-11,1e-13,900,2300
6,0,100,0.75,0.01,0.00181498,1.54306,1.48139,0.196884,0.153544,0.426772,0.972214,0.0985459,0.990421,1.50245,1.49968,0.490567,0.699199,0.612299,0.494541,2.44153e-11,1e-13,900,2300
6,0,1000,1,0.01,0.00181435,1.54306,1.48139,0.196876,0.153544,0.426768,0.972218,0.0985449,0.990422,1.50245,1.49968,0.490568,0.699199,0.612289,0.494544,1e-11,1e-13,900,2300
6,0,1000,0.75,0.01,0.00181435,1.54307,1.48139,0.196875,0.153544,0.426768,0.972219,0.0985449,0.990422,1.50245,1.49968,0.490568,0.699199,0.612289,0.494544,1e-11,1e-13,900,2300
7,0,0.1,1,0.01,0.00151915,1.52203,1.48199,0.212503,0.156316,0.434045,0.960838,0.102681,0.986875,1.50339,1.49933,0.488158,0.699199,0.62853,0.48628,1e-11,1e-13,900,2300
7,0,0.1,0.75,0.01,0.00158357,1.52447,1.48165,0.210923,0.155553,0.433375,0.962113,0.101835,0.987204,1.50331,1.49936,0.488656,0.699199,0.627234,0.487539,1.47447e-11,1e-13,900,2300
7,0,1,1,0.01,0.00164995,1.53072,1.48068,0.206986,0.153951,0.431717,0.965453,0.099686,0.988074,1.5031,1.49944,0.489925,0.699199,0.624134,0.490728,1e-11,1e-13,900,2300
7,0,1,0.75,0.01,0.00168168,1.53099,1.48067,0.206786,0.153779,0.431629,0.965574,0.0995889,0.988103,1.5031,1.49944,0.489982,0.699199,0.623937,0.490875,1.47447e-11,1e-13,900,2300
7,0,10,1,0.01,0.00167617,1.53168,1.48063,0.206265,0.153341,0.431402,0.96589,0.0993367,0.988179,1.50308,1.49945,0.490127,0.699199,0.623431,0.491258,1e-11,1e-13,900,2300
7,0,10,0.75,0.01,0.00170134,1.53171,1.48063,0.206245,0.153322,0.431393,0.965902,0.0993269,0.988182,1.50308,1.49945,0.490133,0.699199,0.62341,0.491272,1.47447e-11,1e-13,900,2300
7,0,100,1,0.01,0.00170212,1.53178,1.48063,0.206191,0.15327,0.431369,0.965933,0.0993012,0.988189,1.50308,1.49945,0.490148,0.699199,0.623356,0.491311,1e-11,1e-13,900,2300
7,0,100,0.75,0.01,0.0017208,1.53178,1.48063,0.206189,0.153269,0.431368,0.965934,0.0993003,0.98819,1.50308,1.49945,0.490148,0.699199,0.623354,0.491312,1.47447e-11,1e-13,900,2300
7,0,1000,1,0.01,0.00175847,1.53179,1.48063,0.206184,0.153264,0.431366,0.965937,0.0992978,0.98819,1.50308,1.49945,0.49015,0.699199,0.623348,0.491316,2.90077e-11,1e-13,900,2300
7,0,1000,0.75,0.01,0.00176306,1.53179,1.48063,0.206184,0.153264,0.431366,0.965937,0.0992977,0.98819,1.50308,1.49945,0.49015,0.699199,0.623348,0.491316,2.90004e-11,1e-13,900,2300
8,0,0.1,1,0.01,0.00165587,1.51243,1.4825,0.219103,0.156757,0.437523,0.954696,0.100881,0.985364,1.50414,1.49914,0.487232,0.699072,0.634512,0.485126,2.11465e-11,1e-13,900,2300
8,0,0.1,0.75,0.01,0.00162169,1.51483,1.48237,0.217453,0.156647,0.436653,0.956231,0.101331,0.985742,1.50395,1.49919,0.487463,0.699104,0.633017,0.485415,1.83599e-11,1e-13,900,2300
8,0,1,1,0.01,0.00167259,1.52097,1.48199,0.21337,0.156484,0.434453,0.960224,0.102522,0.986731,1.50346,1.49931,0.488051,0.699186,0.62937,0.486109,2.11801e-11,1e-13,900,2300
8,0,1,0.75,0.01,0.00163423,1.52123,1.48199,0.213153,0.156442,0.434351,0.960378,0.102562,0.986767,1.50344,1.49931,0.488078,0.699189,0.62916,0.486151,1.8385e-11,1e-13,900,2300
8,0,10,1,0.01,0.00167258,1.52192,1.48199,0.212593,0.156338,0.434087,0.960777,0.102666,0.986861,1.5034,1.49933,0.488147,0.699198,0.628617,0.48626,2.11897e-11,1e-13,900,2300
8,0,10,0.75,0.01,0.00163423,1.52195,1.48199,0.21257,0.156333,0.434077,0.960792,0.10267,0.986865,1.50339,1.49933,0.48815,0.699198,0.628595,0.486265,1.83923e-11,1e-13,900,2300
8,0,100,1,0.01,0.00164133,1.52202,1.48199,0.212512,0.15632,0.43405,0.960832,0.10268,0.986874,1.50339,1.49933,0.488157,0.699199,0.628538,0.486276,2.12001e-11,1e-13,900,2300
8,0,100,0.75,0.01,0.00161079,1.52202,1.48199,0.21251,0.156319,0.434048,0.960834,0.10268,0.986874,1.50339,1.49933,0.488158,0.699199,0.628536,0.486277,1.84001e-11,1e-13,900,2300
8,0,1000,1,0.01,0.00155908,1.52203,1.48199,0.212504,0.156317,0.434045,0.960837,0.102681,0.986875,1.50339,1.49933,0.488158,0.699199,0.62853,0.486279,2.12246e-11,1e-13,900,2300
8,0,1000,0.75,0.01,0.0015491,1.52203,1.48199,0.212504,0.156317,0.434045,0.960837,0.102681,0.986875,1.50339,1.49933,0.488158,0.699199,0.62853,0.486279,1.84184e-11,1e-13,900,2300
