iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
3,0,1,0.75,0.0025,0.00146962,1.48933,2.06716,0.127403,0.170004,0.468377,0.933643,0.138939,0.983856,1.48137,1.49753,0.478604,0.698179,0.556362,0.438022,3.23482e-11,1.75e-13,900,1900,0.556314,0.764989,0.0105379,0.0320571,0.034086,0.00875
3,0,10,1,0.0025,0.00138625,1.49462,2.06895,0.135078,0.17221,0.474261,0.93759,0.137739,0.984606,1.4849,1.49724,0.481787,0.6977,0.548361,0.434586,5.23721e-11,1.75e-13,900,1900,0.552533,0.759382,0.010671,0.035,0.0366541,0.00875
3,0,10,0.75,0.0025,0.00143197,1.49773,2.06947,0.131052,0.170478,0.471563,0.938069,0.135527,0.984759,1.48588,1.49716,0.483282,0.697773,0.555828,0.438952,5.15886e-11,1.75e-13,900,1900,0.553716,0.760562,0.0107224,0.0320571,0.0355685,0.00875
3,0,100,1,0.0025,0.00150348,1.5055,2.07083,0.122121,0.166737,0.465687,0.939313,0.130138,0.985132,1.48832,1.49696,0.486973,0.697909,0.573551,0.449404,9.05406e-11,1.75e-13,900,1900,0.556002,0.762668,0.0108504,0.0251709,0.032546,0.00875
3,0,100,0.75,0.0025,0.00151989,1.50589,2.07088,0.121334,0.166374,0.465132,0.939361,0.129826,0.985154,1.48844,1.49695,0.487171,0.697929,0.574721,0.450065,8.0215e-11,1.75e-13,900,1900,0.556318,0.763027,0.010857,0.0246853,0.0324874,0.00875
3,0,1000,1,0.0025,0.00156061,1.50694,2.07102,0.119257,0.165398,0.463664,0.93949,0.128994,0.985212,1.48877,1.49692,0.487699,0.697981,0.577823,0.451816,9.35659e-11,1.75e-13,900,1900,0.557145,0.763966,0.0108746,0.0233972,0.0323216,0.00875
3,0,1000,0.75,0.0025,0.00156274,1.50697,2.07102,0.119187,0.16537,0.463616,0.939494,0.128968,0.985214,1.48878,1.49692,0.487716,0.697983,0.577925,0.451874,8.24839e-11,1.75e-13,900,1900,0.557175,0.764,0.0108752,0.023355,0.0323191,0.00875
4,0,0.1,1,0.0025,0.000616024,1.27833,1.96334,0.14191,0.207311,0.533353,0.669427,0.157329,0.958809,1.29341,1.50117,0.322757,0.711017,0.452611,0.360165,5.30904e-11,1.75e-13,900,1900,0.492437,0.769407,0.00953793,0.034662,0.0307018,0.00875
4,0,0.1,0.75,0.0025,0.000827312,1.32587,1.98661,0.138273,0.198496,0.517034,0.725104,0.153053,0.962265,1.33073,1.50106,0.355619,0.708507,0.477311,0.378824,4.63868e-11,1.75e-13,900,1900,0.507285,0.768405,0.0093156,0.0347465,0.0317691,0.00875
4,0,1,1,0.0025,0.000629022,1.37555,2.03701,0.146008,0.196472,0.524998,0.858142,0.144808,0.971643,1.4141,1.50149,0.417571,0.701783,0.464592,0.369387,4.75826e-11,1.75e-13,900,1900,0.530194,0.7667,0.0144859,0.0284339,0.0230205,0.00875
4,0,1,0.75,0.0025,0.00083706,1.39878,2.04186,0.141346,0.190367,0.510768,0.86664,0.143662,0.97189,1.42125,1.5013,0.426729,0.701582,0.486297,0.38574,4.22559e-11,1.75e-13,900,1900,0.535604,0.766376,0.0130265,0.0300754,0.0260082,0.00875
4,0,10,1,0.0025,0.000949221,1.45293,2.05432,0.13744,0.180006,0.488064,0.888752,0.142432,0.972665,1.43836,1.50092,0.447979,0.701091,0.521189,0.41324,4.47695e-11,1.75e-13,900,1900,0.544591,0.760156,0.0120878,0.034157,0.0235393,0.00875
4,0,10,0.75,0.0025,0.00107721,1.45682,2.05485,0.13492,0.178017,0.483067,0.889597,0.14188,0.972657,1.43945,1.50088,0.449535,0.701063,0.528745,0.418631,4.01461e-11,1.75e-13,900,1900,0.546401,0.761467,0.011228,0.0343678,0.0263973,0.00875
4,0,100,1,0.0025,0.00120473,1.46684,2.05624,0.129239,0.173166,0.470847,0.891781,0.140508,0.972629,1.44219,1.50076,0.453443,0.700986,0.547447,0.432053,4.25316e-11,1.75e-13,900,1900,0.550132,0.76379,0.00907696,0.035,0.0295102,0.00875
4,0,100,0.75,0.0025,0.00126884,1.46725,2.05629,0.128769,0.172887,0.470154,0.891869,0.140437,0.97263,1.44232,1.50075,0.453633,0.700984,0.548438,0.43274,3.84678e-11,1.75e-13,900,1900,0.550557,0.764193,0.00896987,0.035,0.0308755,0.00875
4,0,1000,1,0.0025,0.00148212,1.46832,2.05638,0.12754,0.172043,0.468316,0.892099,0.140249,0.97263,1.44264,1.50073,0.45413,0.700979,0.551028,0.434519,3.19163e-11,1.75e-13,900,1900,0.551655,0.765238,0.00869971,0.035,0.0343228,0.00875
4,0,1000,0.75,0.0025,0.00147689,1.46836,2.05639,0.127495,0.172045,0.468256,0.892107,0.140243,0.972631,1.44266,1.50073,0.454149,0.700979,0.551124,0.43459,3.05063e-11,1.75e-13,900,1900,0.551699,0.765279,0.00868694,0.035,0.0344849,0.00875
5,0,0.1,1,0.0025,0.000599413,1.27621,1.96424,0.140581,0.207675,0.536983,0.66633,0.15773,0.958877,1.29149,1.50123,0.320254,0.711363,0.45211,0.359919,5.52123e-11,1.75e-13,900,1900,0.490565,0.769279,0.00825599,0.035,0.0305797,0.00875
5,0,0.1,0.75,0.0025,0.000603566,1.27674,1.96402,0.140913,0.207584,0.536076,0.667105,0.15763,0.95886,1.29197,1.50121,0.32088,0.711276,0.452236,0.359981,5.46818e-11,1.75e-13,900,1900,0.491033,0.769311,0.00857647,0.0349155,0.0306102,0.00875
5,0,1,1,0.0025,0.000516716,1.2704,1.96446,0.139687,0.211531,0.54739,0.665973,0.157294,0.958829,1.2905,1.50096,0.317464,0.710931,0.448038,0.355373,6.39958e-11,1.75e-13,900,1900,0.487368,0.76673,0.00922969,0.035,0.0288836,0.00875
5,0,1,0.75,0.0025,0.000541543,1.27238,1.96418,0.140243,0.210476,0.543881,0.666837,0.157303,0.958824,1.29123,1.50102,0.318787,0.710952,0.449182,0.356571,6.12694e-11,1.75e-13,900,1900,0.488635,0.767399,0.00930675,0.0349155,0.0293381,0.00875
5,0,10,1,0.0025,0.000456229,1.26985,1.96388,0.14234,0.21249,0.5437,0.668198,0.157151,0.958786,1.29158,1.50095,0.31911,0.710945,0.446071,0.35248,7.36253e-11,1.75e-13,900,1900,0.487285,0.764968,0.0101823,0.0343112,0.0233248,0.00875
5,0,10,0.75,0.0025,0.000496178,1.27197,1.96375,0.142233,0.211195,0.541113,0.668506,0.157196,0.958792,1.29204,1.501,0.320022,0.710963,0.447706,0.354401,6.84915e-11,1.75e-13,900,1900,0.488573,0.766078,0.0100212,0.0343989,0.025169,0.00875
5,0,100,1,0.0025,0.000557824,1.27662,1.96343,0.142229,0.208222,0.535172,0.669246,0.157299,0.958802,1.29309,1.50114,0.322109,0.710993,0.451423,0.35857,6.16353e-11,1.75e-13,900,1900,0.49114,0.768173,0.00966917,0.0345594,0.0270596,0.00875
