iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m,albedo_bg,e_bg,pen_w,pen_s,z_bg,z_s
3,0,1000,1,0.0025,0.00212553,1.49992,2.06126,0.146029,0.163287,0.478837,0.941908,0.115051,0.984066,1.4986,1.49948,0.479521,0.698962,0.528274,0.426894,4.27321e-11,1.71649e-13,900,1900,0.570948,0.803589,0.0101587,0.0139516,0.0457046,0.00344363
3,0,1000,0.75,0.0025,0.00212554,1.49992,2.06126,0.146029,0.163287,0.478836,0.941909,0.115051,0.984066,1.4986,1.49948,0.479521,0.698962,0.528275,0.426895,4.27325e-11,1.7165e-13,900,1900,0.570947,0.803589,0.0101587,0.0139523,0.0457051,0.00344738
4,0,0.1,1,0.0025,0.00166127,1.48459,2.05749,0.156116,0.173485,0.491955,0.938164,0.120658,0.9844,1.49655,1.49909,0.477138,0.6992,0.501199,0.407367,5.24224e-11,1.75e-13,900,1900,0.569792,0.802868,0.0106231,0.0145053,0.0469666,0.00313467
4,0,0.1,0.75,0.0025,0.00177607,1.48842,2.05843,0.153595,0.170936,0.488675,0.939101,0.119256,0.984317,1.49706,1.49919,0.477734,0.699141,0.507969,0.412249,4.99995e-11,1.75e-13,900,1900,0.570081,0.803048,0.010507,0.0143675,0.0466516,0.00321528
4,0,1,1,0.0025,0.00182133,1.49824,2.06092,0.147119,0.164754,0.480843,0.941512,0.115839,0.984087,1.49831,1.49944,0.479106,0.698992,0.524292,0.424181,5.76998e-11,1.75e-13,900,1900,0.570646,0.803345,0.0109266,0.0142524,0.0454234,0.00314577
4,0,1,0.75,0.0025,0.00189611,1.49866,2.06101,0.146846,0.164388,0.480341,0.941611,0.115642,0.984082,1.49838,1.49945,0.47921,0.698985,0.525288,0.42486,5.39575e-11,1.75e-13,900,1900,0.570721,0.803406,0.0107346,0.0141778,0.0454942,0.00322361
4,0,10,1,0.0025,0.00184653,1.49975,2.06123,0.146138,0.163441,0.479048,0.941868,0.115133,0.984068,1.49857,1.49948,0.479477,0.698966,0.527856,0.426612,5.91377e-11,1.75e-13,900,1900,0.570911,0.803558,0.01032,0.0139912,0.0456539,0.00322459
4,0,10,0.75,0.0025,0.00191501,1.49979,2.06124,0.146111,0.163403,0.478995,0.941878,0.115113,0.984068,1.49858,1.49948,0.479488,0.698965,0.527962,0.426684,5.50359e-11,1.75e-13,900,1900,0.57092,0.803565,0.0102797,0.0139819,0.0456671,0.00328272
4,0,100,1,0.0025,0.00211389,1.4999,2.06125,0.146038,0.163283,0.47885,0.941905,0.115057,0.984066,1.4986,1.49948,0.479516,0.698963,0.528236,0.426866,4.19607e-11,1.75e-13,900,1900,0.570951,0.803594,0.0102076,0.0139896,0.045706,0.00348152
4,0,100,0.75,0.0025,0.00211553,1.49991,2.06126,0.146036,0.163284,0.478847,0.941906,0.115055,0.984066,1.4986,1.49948,0.479517,0.698963,0.528247,0.426874,4.21532e-11,1.75e-13,900,1900,0.57095,0.803593,0.0101954,0.0139807,0.0457062,0.00347541
4,0,1000,1,0.0025,0.00212045,1.49992,2.06126,0.14603,0.163287,0.478837,0.941908,0.115052,0.984066,1.4986,1.49948,0.479521,0.698962,0.528274,0.426894,4.27303e-11,1.75e-13,900,1900,0.570948,0.803589,0.0101634,0.0139572,0.0457065,0.00345644
4,0,1000,0.75,0.0025,0.00212045,1.49992,2.06126,0.14603,0.163287,0.478837,0.941909,0.115052,0.984066,1.4986,1.49948,0.479521,0.698962,0.528275,0.426895,4.27304e-11,1.75e-13,900,1900,0.570948,0.803589,0.0101622,0.0139564,0.0457065,0.0034566
