iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
3,0,100,1,0.0025,0.000978424,2.04961,2.04995,0.227087,0.161055,0.440297,0.952038,0.101757,0.984407,1.50511,1.49939,0.486613,0.698884,0.638382,0.481638,1.33666e-11,2.5e-14,900,1900
3,0,100,0.75,0.0025,0.000978424,2.04961,2.04995,0.227087,0.161055,0.440297,0.952038,0.101757,0.984407,1.50511,1.49939,0.486613,0.698884,0.638382,0.481638,1.33666e-11,2.5e-14,900,1900
3,0,1000,1,0.0025,0.000978424,2.04961,2.04995,0.227087,0.161055,0.440297,0.952038,0.101757,0.984407,1.50511,1.49939,0.486613,0.698884,0.638382,0.481638,1.33666e-11,2.5e-14,900,1900
3,0,1000,0.75,0.0025,0.000978424,2.04961,2.04995,0.227087,0.161055,0.440297,0.952038,0.101757,0.984407,1.50511,1.49939,0.486613,0.698884,0.638382,0.481638,1.33666e-11,2.5e-14,900,1900
4,0,0.1,1,0.0025,0.000731288,2.03905,2.04897,0.232963,0.170306,0.445406,0.951422,0.105865,0.984507,1.50493,1.49939,0.483959,0.698884,0.650113,0.483941,1.33666e-11,2.5e-14,900,1900
4,0,0.1,0.75,0.0025,0.000793072,2.04169,2.04921,0.231494,0.167993,0.444129,0.951576,0.104838,0.984482,1.50497,1.49939,0.484623,0.698884,0.64718,0.483365,1.33666e-11,2.5e-14,900,1900
4,0,1,1,0.0025,0.000798453,2.0485,2.04984,0.228051,0.162299,0.440841,0.951973,0.102197,0.984419,1.50509,1.49939,0.486328,0.698884,0.639745,0.481963,1.33666e-11,2.5e-14,900,1900
4,0,1,0.75,0.0025,0.000843446,2.04878,2.04987,0.22781,0.161988,0.440705,0.951989,0.102087,0.984416,1.5051,1.49939,0.486399,0.698884,0.639404,0.481882,1.33666e-11,2.5e-14,900,1900
4,0,10,1,0.0025,0.000813059,2.0495,2.04994,0.227189,0.161183,0.440352,0.952031,0.101801,0.984409,1.50511,1.49939,0.486584,0.698884,0.638521,0.481673,1.33666e-11,2.5e-14,900,1900
4,0,10,0.75,0.0025,0.0008544,2.04953,2.04994,0.227164,0.161151,0.440338,0.952033,0.10179,0.984408,1.50511,1.49939,0.486591,0.698884,0.638486,0.481664,1.33666e-11,2.5e-14,900,1900
4,0,100,1,0.0025,0.000855134,2.0496,2.04995,0.227097,0.161067,0.440302,0.952037,0.101762,0.984407,1.50511,1.49939,0.48661,0.698884,0.638396,0.481642,1.33666e-11,2.5e-14,900,1900
4,0,100,0.75,0.0025,0.000885956,2.0496,2.04995,0.227095,0.161064,0.440301,0.952037,0.101761,0.984407,1.50511,1.49939,0.486611,0.698884,0.638392,0.481641,1.33666e-11,2.5e-14,900,1900
4,0,1000,1,0.0025,0.000978424,2.04961,2.04995,0.227088,0.161056,0.440297,0.952037,0.101758,0.984407,1.50511,1.49939,0.486612,0.698884,0.638383,0.481639,1.33666e-11,2.5e-14,900,1900
4,0,1000,0.75,0.0025,0.000978424,2.04961,2.04995,0.227088,0.161056,0.440297,0.952037,0.101758,0.984407,1.50511,1.49939,0.486612,0.698884,0.638383,0.481639,1.33666e-11,2.5e-14,900,1900
5,0,0.1,1,0.0025,0.000456229,2.0319,2.04876,0.235501,0.173883,0.448199,0.951072,0.108108,0.984512,1.50479,1.49943,0.482439,0.698884,0.657437,0.483366,4.4397e-11,2.5e-14,900,1900
5,0,0.1,0.75,0.0025,0.000524993,2.03369,2.04881,0.234866,0.172988,0.447501,0.95116,0.107547,0.984511,1.50483,1.49942,0.482819,0.698884,0.655606,0.48351,3.66394e-11,2.5e-14,900,1900
5,0,1,1,0.0025,0.000456229,2.03829,2.04894,0.233433,0.170768,0.445699,0.951385,0.106101,0.984508,1.50491,1.49939,0.483799,0.698884,0.650967,0.483908,4.59939e-11,2.5e-14,900,1900
