TIMESTAMP,Soil moisture at - 0.04 m (%),Soil moisture at - 0.1 m (%),Soil moisture at - 0.2 m (%),Soil moisture at - 0.4 m (%),Soil moisture at - 0.8 m (%),Soil moisture at - 1.2 m (%),Soil moisture at - 1.6 m (%),Soil temperature at - 0.04 m (K),Soil temperature at - 0.1 m (K),Soil temperature at - 0.2 m (K),Soil temperature at - 0.4 m (K),Soil temperature at - 0.8 m (K),Soil temperature at - 1.2 m (K),Soil temperature at - 1.6 m (K)
2018-04-04,15.6762002302,15.6761060404,15.6757410033,9.43889050392,9.43880047488,9.43876665656,9.43875815788,269.361913726,269.23042907,268.6230769,268.0187268,266.875174108,266.296751255,266.133058864
2018-04-05,15.6747001538,15.6749898768,15.6751646986,9.4388301318,9.43879923911,9.43877210963,9.43876278644,265.10318586,266.5274633,267.168995674,267.309224796,266.856893518,266.397715484,266.223192453
2018-04-06,15.6746979824,15.6748433247,15.6749781752,9.43879405214,9.43879182946,9.43877502043,9.43876674935,265.090232602,265.875224495,266.479651808,266.774542237,266.738456042,266.450368605,266.298495289
2018-04-07,15.6751645543,15.6750652631,15.6750459897,9.43879247136,9.43878750597,9.43877647183,9.43876992079,267.168516585,266.819994505,266.747656386,266.749168831,266.666895748,266.476309161,266.357558101
2018-04-08,15.6770332066,15.6757937578,15.6753605203,9.43882539118,9.43879175266,9.43877846427,9.4387727061,270.231704886,268.722047293,267.756064266,267.242509857,266.737156411,266.511585152,266.40857419
2018-04-09,15.6791530847,15.6765583907,15.6757094649,9.43886987373,9.4388027675,9.43878216645,9.43877566419,271.315834791,269.791358546,268.561800839,267.79546696,266.91221448,266.576125134,266.461899805
2018-04-10,15.6807109347,15.6771624934,15.6760132825,9.43891397755,9.43881738138,9.43878772066,9.43877918375,271.712421562,270.332551032,269.091856834,268.247875433,267.129748669,266.670570434,266.524229461
2018-04-11,15.6914519061,15.6783670591,15.6764259959,9.4389669789,9.43883496619,9.43879499995,9.43878346569,272.579705176,271.021345401,269.644277693,268.696290389,267.371564204,266.790210649,266.598470405
2018-04-12,15.6762682505,15.6762917236,15.6759856728,9.43894886954,9.43884570215,9.43880248661,9.4387882877,269.451588223,269.481571052,269.048728032,268.558829193,267.510262021,266.908618141,266.680055978
2018-04-13,15.6764820248,15.6761675543,15.6758773269,9.43893771719,9.43885181369,9.43880926483,9.43879328774,269.708041671,269.317295626,268.870388427,268.466541557,267.586534576,267.011983338,266.762479261
2018-04-14,15.6759921167,15.6758970348,15.6757405995,9.4389224373,9.43885443877,9.43881493619,9.4387981488,269.0588745,268.903955322,268.622302604,268.332567371,267.618933742,267.095806209,266.840570155
2018-04-15,15.6762101683,15.67594395,15.6757315031,9.43891857253,9.43885647932,9.43881968986,9.43880271508,269.375281814,268.981812986,268.604789418,268.29716543,267.643769567,267.164275885,266.912160439
2018-04-16,15.6761059522,15.6759002517,15.6757091123,9.43891576116,9.43885836129,9.43882378898,9.43880695146,269.230301809,268.909385284,268.561106594,268.271193908,267.666405109,267.222053503,266.977102845
2018-04-17,15.6762317242,15.675949617,15.6757266226,9.43891754609,9.43886076112,9.43882751785,9.43881089872,269.403960295,268.991027653,268.59533779,268.287751462,267.694864534,267.273626576,267.036375857
2018-04-18,15.6770840466,15.6763081388,15.6758784804,9.43893471587,9.43886588969,9.43883142007,9.43881470184,270.272197362,269.502255668,268.872367532,268.440981087,267.754401708,267.326619566,267.092389126
2018-04-19,15.6771263129,15.6764306239,15.6759720361,9.43895035925,9.4388725824,9.43883573875,9.43881851058,270.305028048,269.649632617,269.027091533,268.572556686,267.830102762,267.384135683,267.147438789
2018-04-20,15.6776045092,15.6766548912,15.6760927265,9.43896879011,9.43888056263,9.43884056216,9.43882243824,270.630852257,269.891125322,269.211115119,268.718090072,267.917550077,267.447010287,267.203141641
2018-04-21,15.6814307005,15.6776428849,15.6764512046,9.4390103601,9.43889253356,9.43884633928,9.43882665347,271.843595704,270.653839159,269.673252157,269.012341469,268.043139193,267.520488462,267.261753782
2018-04-22,15.6843692247,15.678460537,15.6767948194,9.43905659139,9.43890765692,9.43885330376,9.43883131987,272.199878446,271.06114898,270.025838925,269.295860576,268.193142666,267.606524729,267.325271161
2018-04-23,15.6842269086,15.6787968352,15.6770207646,9.43909480185,9.43892368962,9.43886126562,9.43883650087,272.187103926,271.192972523,270.22162375,269.502418639,268.342640215,267.701633314,267.394164828
