iteration,_is_super,_lambda,_scale_factor,alpha_p,alpha_m,n_p,n_m,wr_p,wr_m,tcs_p,tcs_m,tcd_p,tcd_m,af_p,af_m,auf_p,auf_m,por_p,por_m,perm_p,perm_m,den_p,den_m
4,0,0.1,1,0.0025,0.0031936,2.03538,2.04902,0.231953,0.166307,0.45636,0.949565,0.114154,0.982414,1.5035,1.49943,0.479661,0.698833,0.651152,0.483091,4.16258e-11,2.5e-14,900,1900
4,0,0.1,0.75,0.0025,0.00311409,2.03643,2.04916,0.231746,0.165944,0.455416,0.949721,0.11342,0.982543,1.5036,1.49942,0.480105,0.698833,0.650277,0.483199,5.46108e-11,2.5e-14,900,1900
4,0,1,1,0.0025,0.0031936,2.03924,2.04953,0.231242,0.165008,0.452919,0.950134,0.111476,0.98289,1.50388,1.49941,0.481285,0.698833,0.647963,0.483492,5.12562e-11,2.5e-14,900,1900
4,0,1,0.75,0.0025,0.00311409,2.03933,2.04954,0.231213,0.16497,0.452836,0.950148,0.111412,0.9829,1.50389,1.49941,0.481323,0.698833,0.647885,0.4835,6.18337e-11,2.5e-14,900,1900
4,0,10,1,0.0025,0.0031936,2.03954,2.04956,0.231145,0.164884,0.452642,0.95018,0.111263,0.982924,1.50391,1.49941,0.481413,0.698833,0.647701,0.483517,3.83548e-11,2.5e-14,900,1900
4,0,10,0.75,0.0025,0.00311409,2.03956,2.04956,0.231139,0.164877,0.452628,0.950182,0.111252,0.982925,1.50391,1.49941,0.481419,0.698833,0.647689,0.483519,5.21576e-11,2.5e-14,900,1900
4,0,100,1,0.0025,0.00298903,2.03959,2.04957,0.231127,0.164861,0.452596,0.950187,0.111227,0.982929,1.50391,1.49941,0.481434,0.698833,0.647661,0.483522,2.48177e-11,2.5e-14,900,1900
4,0,100,0.75,0.0025,0.00296066,2.03959,2.04957,0.231126,0.164859,0.452593,0.950187,0.111225,0.982929,1.50391,1.49941,0.481435,0.698833,0.647659,0.483523,4.20048e-11,2.5e-14,900,1900
4,0,1000,1,0.0025,0.0028883,2.0396,2.04957,0.231123,0.164855,0.452587,0.950188,0.11122,0.98293,1.50391,1.4994,0.481438,0.698833,0.647653,0.483524,3.07839e-11,2.5e-14,900,1900
4,0,1000,0.75,0.0025,0.00288511,2.0396,2.04957,0.231123,0.164855,0.452586,0.950188,0.11122,0.98293,1.50391,1.4994,0.481438,0.698833,0.647653,0.483524,4.64794e-11,2.5e-14,900,1900
5,0,0.1,1,0.0025,0.0031936,2.02628,2.04872,0.23403,0.17385,0.466936,0.948144,0.121887,0.981552,1.50263,1.49949,0.475301,0.698833,0.658363,0.48117,6.56617e-11,2.5e-14,900,1900
5,0,0.1,0.75,0.0025,0.0031936,2.02855,2.0488,0.233511,0.171964,0.464292,0.948499,0.119954,0.981767,1.50285,1.49947,0.476391,0.698833,0.65656,0.48165,5.96527e-11,2.5e-14,900,1900
5,0,1,1,0.0025,0.0031936,2.03443,2.04902,0.232327,0.167286,0.457534,0.949407,0.11501,0.982331,1.5034,1.49943,0.479182,0.698833,0.651944,0.482905,7.14612e-11,2.5e-14,900,1900
5,0,1,0.75,0.0025,0.0031936,2.03467,2.04902,0.232233,0.167041,0.457241,0.949447,0.114796,0.982352,1.50343,1.49943,0.479302,0.698833,0.651746,0.482951,6.40023e-11,2.5e-14,900,1900
5,0,10,1,0.0025,0.0031936,2.03528,2.04902,0.231993,0.166408,0.456479,0.949549,0.114241,0.982405,1.50349,1.49943,0.479613,0.698833,0.651232,0.483072,7.21808e-11,2.5e-14,900,1900
5,0,10,0.75,0.0025,0.0031936,2.03531,2.04902,0.231983,0.166383,0.456449,0.949553,0.114219,0.982408,1.50349,1.49943,0.479625,0.698833,0.651212,0.483077,6.4542e-11,2.5e-14,900,1900
5,0,100,1,0.0025,0.0031936,2.03538,2.04902,0.231957,0.166317,0.456372,0.949563,0.114163,0.982413,1.5035,1.49943,0.479656,0.698833,0.65116,0.483089,4.16258e-11,2.5e-14,900,1900
